Date : 2020-12-03 16:17:18
Directory : /Users/macbook/fsadalab
Total : 335 files,  140113 codes, 31400 comments, 25680 blanks, all 197193 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        142 |     90,169 |     27,996 |     20,479 |    138,644 |
| JSON       |          5 |     18,678 |          0 |          5 |     18,683 |
| XML        |          5 |      9,576 |          2 |          4 |      9,582 |
| CSS        |          2 |      8,868 |          6 |      2,033 |     10,907 |
| PHP        |        143 |      8,703 |      3,042 |      2,045 |     13,790 |
| HTML       |         34 |      4,048 |        348 |      1,086 |      5,482 |
| Markdown   |          1 |         41 |          0 |         21 |         62 |
| SCSS       |          2 |         17 |          6 |          6 |         29 |
| YAML       |          1 |         13 |          0 |          1 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        335 |    140,113 |     31,400 |     25,680 |    197,193 |
| app                                                                                                    |         66 |      2,504 |      1,574 |        708 |      4,786 |
| app/Console                                                                                            |          1 |         17 |         18 |          7 |         42 |
| app/Exceptions                                                                                         |          1 |         18 |         24 |          7 |         49 |
| app/Http                                                                                               |         39 |      1,777 |      1,342 |        454 |      3,573 |
| app/Http/Controllers                                                                                   |         30 |      1,649 |      1,269 |        411 |      3,329 |
| app/Http/Controllers/Api                                                                               |         23 |      1,496 |      1,143 |        342 |      2,981 |
| app/Http/Controllers/Auth                                                                              |          6 |        143 |        126 |         65 |        334 |
| app/Http/Middleware                                                                                    |          8 |         86 |         52 |         35 |        173 |
| app/Models                                                                                             |         20 |        605 |        127 |        210 |        942 |
| app/Providers                                                                                          |          5 |         87 |         63 |         30 |        180 |
| bootstrap                                                                                              |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                 |         15 |        552 |        756 |        261 |      1,569 |
| database                                                                                               |         46 |      5,311 |        528 |        963 |      6,802 |
| database/factories                                                                                     |          1 |         19 |         10 |          5 |         34 |
| database/migrations                                                                                    |         23 |        766 |        276 |        258 |      1,300 |
